time,gyrx,gyry,gyrz
5855,    -4,    30,   106
5867,    -4,    30,   106
5874,    -4,    30,   106
5881,    -4,    30,   106
5892,    -4,    30,   106
5901,    -4,    30,   106
5912,    -4,    30,   106
5921,    -4,    30,   106
5932,    -4,    30,   106
5942,    -4,    30,   106
5952,    -4,    30,   106
5962,    -4,    30,   106
5972,    -4,    30,   106
5981,    -4,    30,   106
5992,    -4,    30,   106
6002,    -4,    30,   106
6011,    -4,    30,   106
6023,    -4,    30,   106
6033,    -4,    30,   106
6045,    -4,    30,   106
6052,    -4,    30,   106
6062,    -4,    30,   106
6076,    -4,    30,   106
6081,    -4,    30,   106
6092,    -4,    30,   106
6102,    -4,    30,   106
6116,    -4,    30,   106
6126,    -4,    30,   106
6133,    -4,    30,   106
6142,    -4,    30,   106
6152,    -4,    30,   106
6162,    -4,    30,   106
6172,    -4,    30,   106
6194,    -4,    30,   106
6207,    -4,    30,   106
6212,    -4,    30,   106
6219,    -4,    30,   106
6224,    -4,    30,   106
6232,    -4,    30,   106
6242,    -4,    30,   106
6252,    -4,    30,   106
6262,    -4,    30,   106
6275,    -4,    30,   106
6282,    -4,    30,   106
6294,    -4,    30,   106
6302,    -4,    30,   106
6322,    -4,    30,   106
6328,    -4,    30,   106
6335,    -4,    30,   106
6342,    -4,    30,   106
6352,    -4,    30,   106
6362,    -4,    30,   106
6372,    -4,    30,   106
6382,    -4,    30,   106
6393,    -4,    30,   106
6402,    -4,    30,   106
6412,    -4,    30,   106
6425,    -4,    30,   106
6436,    -4,    30,   106
6442,    -4,    30,   106
6452,    -4,    30,   106
6462,    -4,    30,   106
6473,    -4,    30,   106
6483,    -4,    30,   106
6494,    -4,    30,   106
6504,    -4,    30,   106
6516,    -4,    30,   106
6522,    -4,    30,   106
6532,    -4,    30,   106
6546,    -4,    30,   106
6554,    -4,    30,   106
6562,    -4,    30,   106
6572,    -4,    30,   106
6582,    -4,    30,   106
6593,    -4,    30,   106
6604,    -4,    30,   106
6612,    -4,    30,   106
6622,    -4,    30,   106
6632,    -4,    30,   106
6644,    -4,    30,   106
6652,    -4,    31,   106
6662,    -3,    31,   106
6674,    -4,    31,   106
6682,    -4,    29,   107
6692,    -4,    30,   106
6704,    -4,    31,   106
6715,    -4,    31,   106
6722,    -4,    30,   106
6732,    -4,    30,   106
6744,    -4,    30,   106
6754,    -4,    30,   106
6765,    -4,    30,   105
6773,    -3,    31,    98
6782,    -3,    29,    97
6796,    -3,    32,    95
6802,    -3,    30,    94
6812,    -3,    32,    87
6822,    -3,    31,    90
6844,    -3,    33,    92
6850,    -4,    32,   101
6855,    -3,    32,    99
6863,    -1,    37,   103
6872,     3,    48,   104
6882,     3,    46,   107
6892,     0,    41,   108
6903,     1,    43,   106
6912,    -1,    36,   104
6923,    -6,    24,   104
6932,    -8,    20,   104
6943,    -6,    25,   105
6952,    -2,    35,   106
6962,    -4,    30,   106
6972,    -6,    25,   106
6982,    -7,    24,   106
6993,    -5,    26,   106
7005,    -2,    35,   106
7015,     0,    39,   106
7026,     0,    40,   106
7032,     0,    39,   106
7043,     0,    40,   106
7052,     0,    40,   106
7062,    -1,    38,   106
7072,    -4,    31,   106
7083,    -5,    28,   106
7092,    -4,    30,   106
7102,    -3,    32,   106
7112,    -4,    30,   106
7123,    -4,    29,   106
7133,    -5,    28,   106
7142,    -5,    28,   106
7153,    -4,    29,   106
7162,    -5,    28,   106
7172,    -6,    26,   106
7183,    -7,    24,   106
7192,    -8,    21,   106
7203,    -9,    18,   105
7212,    -5,    27,   106
7222,    -1,    37,   106
7233,     3,    46,   106
7244,     8,    58,   107
7253,     9,    62,   107
7263,     8,    58,   107
7272,     0,    41,   106
7283,    -9,    18,   105
7293,    -8,    19,   101
7303,    -1,    39,   105
7313,    -5,    29,   105
7322,    -4,    32,   106
7333,    -3,    34,   106
7343,    -1,    38,   106
7352,     2,    47,   106
7362,     4,    53,   106
7372,    11,    69,   107
